network_type,target_kappa_eff,realized_kappa_eff,mechanism,seed,init_mode,noise_bare,noise_eff,omega_std,residual_kappa,initial_CI,mean_CI,final_CI,min_CI,pct_time_ge_0.75,success,delta_mean_CI_vs_none,delta_final_CI_vs_none,effect_isolated
lattice,0.1,0.1,noise_suppression,17,random,0.01,7.297e-05,0.02,0.0,0.163877,0.187754,0.21243,0.163877,0.0,False,0.000221,0.00036,False
lattice,0.1,0.1,freq_narrowing,17,random,0.01,0.01,0.00291894,0.0,0.163877,0.187383,0.210044,0.163877,0.0,False,-0.00015,-0.002026,False
lattice,0.1,0.1,residual_meanfield,17,random,0.01,0.01,0.02,0.2,0.163877,0.25209,0.358797,0.163877,0.0,False,0.064557,0.146727,True
lattice,0.2,0.2,none,3,random,0.01,0.01,0.02,0.0,0.071065,0.060536,0.053148,0.053148,0.0,False,0.0,0.0,False
lattice,0.2,0.2,noise_suppression,3,random,0.01,7.297e-05,0.02,0.0,0.071065,0.060602,0.053178,0.053178,0.0,False,6.6e-05,3e-05,False
lattice,0.2,0.2,freq_narrowing,3,random,0.01,0.01,0.00291894,0.0,0.071065,0.063814,0.056979,0.056979,0.0,False,0.003278,0.003831,False
lattice,0.2,0.2,residual_meanfield,3,random,0.01,0.01,0.02,0.2,0.071065,0.080339,0.092031,0.071065,0.0,False,0.019803,0.038883,True
lattice,0.2,0.2,none,5,random,0.01,0.01,0.02,0.0,0.033844,0.032295,0.027567,0.027317,0.0,False,0.0,0.0,False
lattice,0.2,0.2,noise_suppression,5,random,0.01,7.297e-05,0.02,0.0,0.033844,0.032073,0.027324,0.027052,0.0,False,-0.000222,-0.000243,False
lattice,0.2,0.2,freq_narrowing,5,random,0.01,0.01,0.00291894,0.0,0.033844,0.039446,0.038022,0.033844,0.0,False,0.007151,0.010455,True
lattice,0.2,0.2,residual_meanfield,5,random,0.01,0.01,0.02,0.2,0.033844,0.044552,0.053249,0.033844,0.0,False,0.012257,0.025682,True
lattice,0.2,0.2,none,12,random,0.01,0.01,0.02,0.0,0.133231,0.183379,0.221892,0.133231,0.0,False,0.0,0.0,False
lattice,0.2,0.2,noise_suppression,12,random,0.01,7.297e-05,0.02,0.0,0.133231,0.183584,0.222151,0.133231,0.0,False,0.000205,0.000259,False
lattice,0.2,0.2,freq_narrowing,12,random,0.01,0.01,0.00291894,0.0,0.133231,0.181046,0.218902,0.133231,0.0,False,-0.002333,-0.00299,False
lattice,0.2,0.2,residual_meanfield,12,random,0.01,0.01,0.02,0.2,0.133231,0.250298,0.377898,0.133231,0.0,False,0.066919,0.156006,True
lattice,0.2,0.2,none,17,random,0.01,0.01,0.02,0.0,0.163877,0.209981,0.252218,0.163877,0.0,False,0.0,0.0,False
lattice,0.2,0.2,noise_suppression,17,random,0.01,7.297e-05,0.02,0.0,0.163877,0.210209,0.252558,0.163877,0.0,False,0.000228,0.00034,False
lattice,0.2,0.2,freq_narrowing,17,random,0.01,0.01,0.00291894,0.0,0.163877,0.208173,0.245774,0.163877,0.0,False,-0.001808,-0.006444,False
lattice,0.2,0.2,residual_meanfield,17,random,0.01,0.01,0.02,0.2,0.163877,0.282787,0.42447,0.163877,0.0,False,0.072806,0.172252,True
lattice,0.5,0.5,none,3,random,0.01,0.01,0.02,0.0,0.071065,0.049281,0.026655,0.026655,0.0,False,0.0,0.0,False
lattice,0.5,0.5,noise_suppression,3,random,0.01,7.297e-05,0.02,0.0,0.071065,0.049359,0.026745,0.026745,0.0,False,7.8e-05,9e-05,False
lattice,0.5,0.5,freq_narrowing,3,random,0.01,0.01,0.00291894,0.0,0.071065,0.050482,0.027021,0.027021,0.0,False,0.001201,0.000366,False
lattice,0.5,0.5,residual_meanfield,3,random,0.01,0.01,0.02,0.2,0.071065,0.065692,0.058996,0.058728,0.0,False,0.016411,0.032341,True
lattice,0.5,0.5,none,5,random,0.01,0.01,0.02,0.0,0.033844,0.036552,0.055217,0.026102,0.0,False,0.0,0.0,False
lattice,0.5,0.5,noise_suppression,5,random,0.01,7.297e-05,0.02,0.0,0.033844,0.036395,0.05511,0.025893,0.0,False,-0.000157,-0.000107,False
lattice,0.5,0.5,freq_narrowing,5,random,0.01,0.01,0.00291894,0.0,0.033844,0.036393,0.03603,0.030844,0.0,False,-0.000159,-0.019187,True
lattice,0.5,0.5,residual_meanfield,5,random,0.01,0.01,0.02,0.2,0.033844,0.046449,0.074001,0.033844,0.0,False,0.009897,0.018784,True
